tier,R2X_pred,R2X_ortho,R2Y_obs,Q2_obs,p_R2Y,p_Q2,R2Y_intercept(corr=0),Q2_intercept(corr=0),R2Y截距<0.4,Q2截距<0.05,判定
80% 主分析,0.038,0.173,0.21,-0.186,0.1045,0.4129,0.168,-0.202,True,True,过拟合 / 不可靠
50% 探索性,0.035,0.165,0.234,-0.156,0.0796,0.2836,0.183,-0.214,True,True,过拟合 / 不可靠
