pathway,color,numerator,denominator,log2FC,CI_lo,CI_hi,fold_change_linear,p_ols_hc3,p_wilcoxon
COX 总通量,#D62728,"PGE1+PGD1+PGF1α+15-keto-PGE1+13,14-dh-15k-PGF1α",DGLA,0.1009,-0.1412,0.3431,1.0725,0.413988,0.617478
12-LOX,#1B7E3A,12-HETrE,DGLA,0.3756,0.0047,0.7465,1.2974,0.047139,0.086501
15-LOX,#5BA85B,15-HETrE,DGLA,0.1598,-0.0578,0.3774,1.1171,0.150105,0.372972
8-LOX/Auto,#FF7F0E,8-HETrE,DGLA,0.1316,-0.0667,0.3299,1.0955,0.193442,0.346119
DGLA/AA,#666666,DGLA,AA,0.0389,-0.0298,0.1077,1.0274,0.266793,0.516055
