Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier,also_in_80_main
Leukotriene E4,白三烯E4,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Leukotrienes,C05952,HMDB0002200,9.09428415,"Cytoplasm,Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.4566,-2.0314,1.1182,3.9163,3.1774,0.56986,0.791061,0.545826,-0.6053,0.795401,0.485801,0.864963,0,False,-0.4566,True,0.0,0.56986,True,False
"9-Oxo-10E,12Z-octadecadienoic acid","9-氧代-10E,12Z-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14766,HMDB0004669,9.8217442,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0389,-0.1668,0.0891,4.692,4.6466,0.551614,0.791061,0.555691,-0.5905,0.795401,0.523173,0.869889,0,False,-0.0389,True,0.0,0.551614,True,True
15-Keto prostaglandin E1,15-酮基-前列腺素E1,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C04654,HMDB0001320,7.46300585,"Cytoplasm,Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0618,-0.1508,0.2743,3.6109,3.6796,0.568799,0.791061,0.59588,0.5314,0.818059,0.76835,0.936397,0,False,0.0618,True,0.0,0.568799,True,True
"9-Hydroxy-10E,12Z-octadecadienoic acid","9-羟基-10E,12Z-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14767,HMDB0004670,9.8576349,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0342,-0.148,0.0795,6.3216,6.2933,0.555528,0.791061,0.603495,-0.5204,0.818059,0.85628,0.936397,1,True,-0.0252,True,0.2626,0.662068,False,True
11β-Prostaglandin E2,11β-前列腺素E2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,HMDB0060041,7.5227249,Membrane,165,-,False,↑(超重肥胖>正常),0.0655,-0.1728,0.3039,3.6553,3.7348,0.589959,0.791061,0.618726,0.4986,0.818059,0.675265,0.89626,1,True,0.0444,True,0.3219,0.71198,False,True
"13-Hydroperoxy-9Z,11E-octadecadienoic acid","13-过氧羟基-9Z,11E-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C04717,HMDB0003871,9.7839923,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0919,-0.2854,0.4692,6.3217,6.3767,0.633134,0.791061,0.639895,0.4687,0.818059,0.824814,0.936397,4,True,0.0772,True,0.1597,0.651973,False,True
"13,14-Dihydro-15-keto prostaglandin E2",13，14-二氢-15-酮基-前列腺素 E2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C04671,HMDB0002776,7.46366165,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0532,-0.1554,0.2618,3.5755,3.6336,0.617277,0.791061,0.645309,0.4612,0.818059,0.882199,0.936397,0,False,0.0532,True,0.0,0.617277,True,True
Prostaglandin E2,前列腺素E2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C00584,HMDB0001220,7.52670575,"Cytoplasm,Extracellular,Membrane,Endoplasmicreticulum",165,-,False,↑(超重肥胖>正常),0.0593,-0.1809,0.2995,3.8217,3.8969,0.628363,0.791061,0.647917,0.4575,0.818059,0.62523,0.869889,1,True,0.0405,True,0.3177,0.739287,False,True
Prostaglandin F3α,前列腺素F3α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C06476,HMDB0002122,7.10102675,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0272,-0.1409,0.0865,3.8428,3.8103,0.63935,0.791061,0.665933,-0.4325,0.818059,0.813438,0.936397,1,True,-0.0163,True,0.4004,0.774812,False,True
"19,20-DiHydroxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid","19,20-二羟基-4Z,7Z,10Z,13Z,16Z-二十二碳五烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0010214,9.37198155,Membrane,165,-,False,↑(超重肥胖>正常),0.0547,-0.1549,0.2643,1.5488,1.6017,0.609196,0.791061,0.66818,0.4294,0.818059,0.633024,0.869889,6,True,-0.01,False,0.8172,0.873558,False,True
"11,12-Epoxy-5Z,8Z,14Z-eicosatrienoic acid",11，12-环氧-5Z，8Z，14Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hepoxilins,C14770,HMDB0004673,10.419741,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0416,-0.1736,0.2568,4.868,4.9369,0.704962,0.834081,0.672378,0.4237,0.818059,0.465432,0.8535,0,False,0.0416,True,0.0,0.704962,True,True
"11,12-DiHydroxy-5Z,8Z,14Z-eicosatrienoic acid",11，12-双羟基-5Z，8Z，14Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,C14774,HMDB0002314,9.40329835,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0271,-0.1108,0.165,1.7924,1.8267,0.70036,0.834081,0.690986,0.3982,0.826856,0.260554,0.832421,0,False,0.0271,True,0.0,0.70036,True,True
"19(20)-Epoxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid","19(20)-环氧基-4Z,7Z,10Z,13Z,16Z-二十二碳五烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,,HMDB0013620,10.2423915,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0483,-0.423,0.3263,3.0219,3.0199,0.800466,0.837577,0.726423,-0.3505,0.826856,0.164979,0.801625,2,True,0.0798,False,-0.6514,0.525723,False,True
"11-Hydroxy- 5Z,8Z,12E,14Z,17Z-eicosapentaenoic acid","11-羟基- 5Z,8Z,12E,14Z,17Z-二十碳五烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,,,9.6228989375,,165,-,False,↑(超重肥胖>正常),0.0823,-0.4068,0.5714,0.3896,0.4012,0.741559,0.834081,0.733054,0.3417,0.826856,0.411417,0.832421,3,True,0.0937,True,-0.1384,0.677442,False,False
"9-Hydroperoxy-10E,12E-octadecadienoic acid","9-过氧羟基-10E,12E-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14827,HMDB0062434,9.84206557894737,,165,-,False,↑(超重肥胖>正常),0.1697,-0.8127,1.152,3.748,3.8212,0.734986,0.834081,0.735564,0.3383,0.826856,0.960605,0.960605,0,False,0.1697,True,0.0,0.734986,True,False
"12,13 -DiHydroxy-9Z-octadecenoic acid","12,13 -二羟基-9Z-十八烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C14829,HMDB0004705,9.0585925,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0272,-0.1767,0.1223,2.5621,2.5283,0.721297,0.834081,0.736241,-0.3374,0.826856,0.64348,0.869889,1,True,-0.0393,True,-0.4462,0.601948,False,True
"13,14-Dihydro-15-keto Prostaglandin F1α","13,14-二氢-15-酮基-前列腺素F1α",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,,8.13954986666667,,165,-,False,↓(超重肥胖<正常),-0.0618,-0.487,0.3634,0.7845,0.7938,0.775819,0.837577,0.763414,-0.3015,0.830884,0.594479,0.869889,3,True,-0.0392,True,0.3659,0.839044,False,True
"13-Hydroxy-9Z,11E-octadecadienoic acid","13-羟基-9Z,11E-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14762,HMDB0004667,9.8399408,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0184,-0.1349,0.0981,5.5535,5.5403,0.756593,0.836837,0.777397,-0.2832,0.830884,0.882199,0.936397,0,False,-0.0184,True,0.0,0.756593,True,True
"15-Hydroxy-11Z,13E-eicosadienoic acid",15--羟基-11Z，13E-二十碳二烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Other hydroxyeicosapolyenoic acids,,,10.4589045,,165,-,False,↑(超重肥胖>正常),0.0407,-0.2653,0.3467,3.422,3.4498,0.794194,0.837577,0.78474,0.2736,0.830884,0.864904,0.936397,3,True,0.0481,True,-0.1819,0.574309,False,True
Prostaglandin F1α,前列腺素F1α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C06475,HMDB0002685,7.6991891,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0438,-0.2175,0.3051,2.2629,2.3373,0.742675,0.834081,0.794089,0.2614,0.830884,0.83337,0.936397,2,True,-0.0277,False,0.3678,0.813983,False,True
15-Keto prostaglandin E2,15-酮基-前列腺素E2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C04707,HMDB0003175,7.2381908,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0578,-0.4001,0.5158,2.7978,2.8325,0.804501,0.837577,0.796738,0.258,0.830884,0.948947,0.960605,6,True,0.1092,True,-0.8875,0.442836,False,True
"8,9-Dpoxy-5Z,11Z,14Z-eicosatrienoic acid",8，9-环氧-5Z，11Z，14Z-二十碳三烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C14769,HMDB0002232,10.480243,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0238,-0.1751,0.2227,5.0326,5.076,0.81463,0.837577,0.813245,0.2366,0.836154,0.804932,0.936397,0,False,0.0238,True,0.0,0.81463,True,True
"13-Oxo-9Z,11E-octadecadienoicacid","13-氧代-9Z,11E-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14765,HMDB0004668,9.72011485,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0304,-0.483,0.5439,4.9159,4.9568,0.907502,0.920106,0.902158,0.1231,0.914688,0.819121,0.936397,8,True,0.1519,True,-3.9908,0.261269,False,True
"15-Deoxy-δ-12,14-prostaglandin D2","15-脱氧-delta-12,14-前列腺素D2",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,,,8.7682685,,165,-,False,↑(超重肥胖>正常),0.0125,-0.5306,0.5557,3.1506,3.1688,0.963921,0.963921,0.959249,0.0512,0.959249,0.3117,0.832421,6,True,0.2813,True,-21.44,0.075125,False,True
