Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier,also_in_80_main
"11-Hydroxy-5Z,8Z,11E,14Z-eicosatetraenoic acid",11-羟基-5Z，8Z，11E，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,,,10.016998,,165,-,False,↑(超重肥胖>正常),0.1323,-0.0091,0.2737,5.3369,5.4699,0.066633,0.540464,0.102294,1.6432,0.6741,0.097061,0.787276,0,False,0.1323,True,0.0,0.066633,True,True
"16-Hydroxy-5Z,8Z,11Z,14Z-eicosatetraenoic acid",16-羟基-5Z，8Z，11Z，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,C14778,HMDB0004680,9.80490405,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.1798,-0.4637,0.104,1.6816,1.5573,0.214393,0.682891,0.110811,-1.6034,0.6741,0.925666,0.960605,1,True,-0.0882,True,0.5093,0.434681,False,True
"12-Hydroxy-5Z,8Z,10E,14Z-eicosatetraenoic acid",12-羟基-5Z，8Z，10E，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,C14777,HMDB0006111,10.079248,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2845,-0.0929,0.6618,9.7882,10.0275,0.139531,0.636611,0.133631,1.5075,0.693051,0.168345,0.801625,1,True,0.2461,True,0.135,0.194596,False,True
"13,14-Dihydro-15-keto-pgf2α",13，14-二氢-15-酮前列腺素 F2α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,HMDB0004685,7.78869495,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.3057,-0.0641,0.6755,2.5043,2.7956,0.105221,0.628385,0.139364,1.4855,0.693051,0.202276,0.801625,4,True,0.1319,True,0.5685,0.42656,False,True
Prostaglandin A2,前列腺素A2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C05953,HMDB0002752,8.0775799,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.23,-0.0286,0.4887,1.3019,1.5565,0.081267,0.593252,0.154063,1.4321,0.693051,0.211488,0.801625,2,True,0.1708,True,0.2577,0.16591,False,True
"16-Hydroxy-4Z,7Z,10Z,13Z,17E,19Z-docosahexaenoic acid",16-羟基-4Z，7Z，10Z，13Z，17E，19Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060047,10.02005785,Membrane,165,-,False,↑(超重肥胖>正常),0.1731,-0.0818,0.428,2.7476,2.9145,0.183169,0.682891,0.16726,1.3873,0.693051,0.179936,0.801625,1,True,0.1949,True,-0.1257,0.128484,False,True
"11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid",11-羟基-4Z，6E，10Z，13Z，16Z，20Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060040,10.122853,Membrane,165,-,False,↑(超重肥胖>正常),0.23,-0.1483,0.6082,4.8249,5.0232,0.233414,0.682891,0.186985,1.3252,0.693051,0.049228,0.697571,2,True,0.2937,True,-0.277,0.03621,True,True
Prostaglandin E1,前列腺素E1,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C04741,HMDB0001442,7.5900479375,"Cytoplasm,Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2636,-0.0786,0.6059,1.2801,1.5353,0.13109,0.636611,0.197869,1.293,0.693051,0.759977,0.936397,5,True,0.0731,True,0.7227,0.633084,False,True
"8-Hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid",8-羟基-5Z，9E，11Z，14Z-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,C14776,HMDB0004679,10.102641,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1153,-0.0532,0.2838,4.932,5.045,0.179705,0.682891,0.21351,1.2489,0.693051,0.242408,0.832421,1,True,0.1011,True,0.1234,0.233946,False,True
Thromboxane B3,血栓素B3,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Thromboxanes,,HMDB0005099,6.8573892,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.3358,-0.126,0.7975,2.7935,3.106,0.154101,0.661727,0.226427,1.2142,0.693051,0.885088,0.936397,3,True,0.1883,True,0.4393,0.387628,False,True
