tier,PERMANOVA_batch_校正前_F,PERMANOVA_batch_校正前_p,PERMANOVA_batch_校正后_F,PERMANOVA_batch_校正后_p,PERMANOVA_year_校正前_F,PERMANOVA_year_校正前_p,PERMANOVA_year_校正后_F,PERMANOVA_year_校正后_p,PERMANOVA_BMI_校正后_F,PERMANOVA_BMI_校正后_p,PLS-DA_R2Y,OPLS-DA_R2Y,OPLS-DA_R2X_pred,OPLS-DA_R2X_ortho,OPLS-DA_Q2_CV,OPLS-DA_p_R2Y,OPLS-DA_p_Q2
80% 主分析,3.295,0.002,0.0,1.0,3.071,0.001,3.189,0.001,1.083,0.324,0.21,0.21,0.038,0.173,-0.186,0.1045,0.4129
50% 探索性,3.52,0.001,0.0,1.0,3.037,0.001,3.136,0.001,1.148,0.273,0.234,0.234,0.035,0.165,-0.156,0.0796,0.2836
