tier_track,src,n_feat,n_sample,n_normal,n_overweight,df_resid,limma_d0,limma_s2_0,s2_min,s2_median,s2_max,s2_max_min_ratio,n_strict_qlimma05,n_standard_qlimma10_fc1.2,n_exploratory_plimma05_fc1.5,n_high_confidence,n_features_with_outlier,n_outlier_robust,out_file
80,ori_n165_filtered80_log2_combat.xlsx,67,165,120,45,159,2.92,0.4106,0.1218,0.629,6.1771,50.73,0,0,0,0,51,22,ancova_main_80.csv
50,ori_n165_filtered50_log2_combat.xlsx,73,165,120,45,159,2.34,0.4431,0.1218,0.6242,18.4724,151.71,0,0,2,0,53,25,ancova_main_50.csv
