pathway,color,numerator,denominator,log2FC,CI_lo,CI_hi,fold_change_linear,p_ols_hc3,p_wilcoxon
CYP-Epo,#1F77B4,"9,10-EpOME+12,13-EpOME",LA,0.3428,0.0148,0.6708,1.2682,0.040541,0.11355
sEH,#9467BD,"9,10-DiHOME+12,13-DiHOME","9,10-EpOME+12,13-EpOME",-0.2205,-0.5692,0.1282,0.8583,0.215235,0.617478
13-LOX (酶为主),#1B7E3A,13-HODE,LA,0.0777,-0.1117,0.2671,1.0553,0.421495,0.677941
非酶氧化 (9-HODE),#FF7F0E,9-HODE,LA,0.0623,-0.1288,0.2534,1.0441,0.522984,0.790806
HpODE 中间体,#9C27B0,13-HpODE,LA,0.2342,-0.1488,0.6172,1.1763,0.2307,0.532741
oxoODE 失活,#795548,9-oxoODE+13-oxoODE,LA,0.0232,-0.1671,0.2136,1.0162,0.810948,0.890869
