Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier
α-Linolenic acid,α-亚麻酸,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C06427,HMDB0001388,11.091619,Cytoplasm,165,-,False,↓(超重肥胖<正常),-0.1069,-0.4159,0.2021,6.4055,6.3077,0.497675,0.724874,0.516883,-0.6496,0.752851,0.152023,0.704198,4,True,-0.1416,True,-0.3242,0.182794,False
"9-Oxo-10E,12Z-octadecadienoic acid","9-氧代-10E,12Z-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14766,HMDB0004669,9.8217442,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0389,-0.1668,0.0891,4.692,4.6466,0.551614,0.765634,0.5564,-0.5894,0.790275,0.523173,0.858837,0,False,-0.0389,True,0.0,0.551614,True
"12S-Hydroxy-5Z,8E,10E-heptadecatrienoic acid",12S-羟基-5Z，8E，10E--十七碳三烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C20388,HMDB0012535,9.2146717,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2321,-0.6169,1.0812,4.8818,5.0375,0.59204,0.765634,0.571073,0.5676,0.790275,0.584384,0.87986,5,True,0.2083,True,0.1027,0.524096,False
15-Keto prostaglandin E1,15-酮基-前列腺素E1,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C04654,HMDB0001320,7.46300585,"Cytoplasm,Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0618,-0.1508,0.2743,3.6109,3.6796,0.568799,0.765634,0.595644,0.5317,0.790275,0.76835,0.938212,0,False,0.0618,True,0.0,0.568799,True
"9-Hydroxy-10E,12Z-octadecadienoic acid","9-羟基-10E,12Z-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C14767,HMDB0004670,9.8576349,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0342,-0.148,0.0795,6.3216,6.2933,0.555528,0.765634,0.604148,-0.5195,0.790275,0.85628,0.938212,1,True,-0.0252,True,0.2626,0.662068,False
11β-Prostaglandin E2,11β-前列腺素E2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,HMDB0060041,7.5227249,Membrane,165,-,False,↑(超重肥胖>正常),0.0655,-0.1728,0.3039,3.6553,3.7348,0.589959,0.765634,0.618413,0.4991,0.790275,0.675265,0.887112,1,True,0.0444,True,0.3219,0.71198,False
"13-Hydroperoxy-9Z,11E-octadecadienoic acid","13-过氧羟基-9Z,11E-十八碳二烯酸",Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C04717,HMDB0003871,9.7839923,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0917,-0.2861,0.4696,6.3213,6.3762,0.634218,0.765634,0.640651,0.4677,0.790275,0.821966,0.938212,4,True,0.0768,True,0.1629,0.654113,False
"13,14-Dihydro-15-keto prostaglandin E2",13，14-二氢-15-酮基-前列腺素 E2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C04671,HMDB0002776,7.46366165,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0532,-0.1554,0.2618,3.5755,3.6336,0.617277,0.765634,0.645103,0.4614,0.790275,0.882199,0.938212,0,False,0.0532,True,0.0,0.617277,True
Prostaglandin E2,前列腺素E2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C00584,HMDB0001220,7.52670575,"Cytoplasm,Extracellular,Membrane,Endoplasmicreticulum",165,-,False,↑(超重肥胖>正常),0.0593,-0.1809,0.2995,3.8217,3.8969,0.628363,0.765634,0.647632,0.4579,0.790275,0.62523,0.87986,1,True,0.0405,True,0.3177,0.739287,False
15-Keto prostaglandin E2,15-酮基-前列腺素E2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C04707,HMDB0003175,7.2381908,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1024,-0.3267,0.5316,2.7762,2.8668,0.639933,0.765634,0.661617,0.4385,0.790275,0.925666,0.960142,4,True,0.0565,True,0.4481,0.759275,False
Prostaglandin F3α,前列腺素F3α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C06476,HMDB0002122,7.10102675,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0272,-0.1409,0.0865,3.8428,3.8103,0.63935,0.765634,0.666605,-0.4316,0.790275,0.813438,0.938212,1,True,-0.0163,True,0.4004,0.774812,False
"11,12-Epoxy-5Z,8Z,14Z-eicosatrienoic acid",11，12-环氧-5Z，8Z，14Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hepoxilins,C14770,HMDB0004673,10.419741,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0416,-0.1736,0.2568,4.868,4.9369,0.704962,0.814353,0.672323,0.4237,0.790275,0.465432,0.820629,0,False,0.0416,True,0.0,0.704962,True
